0.5,5.2114728e+13,2.6745622e+19,4.8437649e+13
1.5,4.6619687e+13,2.3925531e+19,4.3202079e+13
2.5,4.1833506e+13,2.1591625e+19,3.8719728e+13
3.5,3.730923e+13,1.9429778e+19,3.4600183e+13
4.5,3.3102961e+13,1.7373958e+19,3.0787839e+13
5.5,2.9255406e+13,1.545631e+19,2.7297636e+13
6.5,2.5883836e+13,1.369661e+19,2.4080419e+13
7.5,2.2784529e+13,1.2048978e+19,2.1072107e+13
8.5,1.9824656e+13,1.0513129e+19,1.8234394e+13
9.5,1.6775689e+13,9.0562859e+18,1.5553522e+13
10.5,1.4000319e+13,7.6957583e+18,1.3143911e+13
11.5,1.1731205e+13,6.5241398e+18,1.1126606e+13
12.5,9.7313551e+12,5.5773475e+18,9.4444584e+12
13.5,8.0925998e+12,4.7658473e+18,7.980787e+12
14.5,6.4860878e+12,4.0706025e+18,6.6994775e+12
15.5,5.1500926e+12,3.4711038e+18,5.5805292e+12
16.5,3.988317e+12,2.9478044e+18,4.6086173e+12
17.5,2.9223886e+12,2.5002511e+18,3.778158e+12
18.5,2.0092663e+12,2.1120342e+18,3.0777522e+12
19.5,1.6947337e+12,1.7814142e+18,2.4949926e+12
20.5,1.4257687e+12,1.4986924e+18,2.0150955e+12
21.5,1.2002097e+12,1.2615968e+18,1.624214e+12
22.5,1.0111808e+12,1.0628996e+18,1.307527e+12
23.5,8.5187926e+11,8.9545028e+17,1.056171e+12
24.5,7.1852574e+11,7.5527614e+17,8.6272946e+11
25.5,6.0685456e+11,6.3789331e+17,7.1206813e+11
26.5,5.1246566e+11,5.3867671e+17,5.9092544e+11
27.5,4.3379778e+11,4.5598521e+17,4.9217171e+11
28.5,3.6812648e+11,3.8695503e+17,4.0980995e+11
29.5,3.1321741e+11,3.2923753e+17,3.4069197e+11
30.5,2.6785777e+11,2.8155788e+17,2.8283496e+11
31.5,2.2991618e+11,2.4167569e+17,2.3395522e+11
32.5,1.9766545e+11,2.0777543e+17,1.9274919e+11
33.5,1.7011672e+11,1.7881767e+17,1.5812459e+11
34.5,1.4650763e+11,1.5400104e+17,1.2905349e+11
35.5,1.261549e+11,1.3260734e+17,1.0516272e+11
36.5,1.0869708e+11,1.142566e+17,8.561526e+10
37.5,9.3822555e+10,9.8621293e+16,6.958517e+10
38.5,8.1125552e+10,8.5274877e+16,5.6716194e+10
39.5,7.0241023e+10,7.3833637e+16,4.669798e+10
40.5,6.0908076e+10,6.4023338e+16,3.8815367e+10
41.5,5.290422e+10,5.561011e+16,3.2345914e+10
42.5,4.6055715e+10,4.8411324e+16,2.7012135e+10
43.5,4.015522e+10,4.2209037e+16,2.2620253e+10
44.5,3.5050569e+10,3.6843298e+16,1.8983757e+10
45.5,3.0631351e+10,3.2198051e+16,1.5957232e+10
46.5,2.6835377e+10,2.8207924e+16,1.3489336e+10
47.5,2.3696001e+10,2.4907979e+16,1.1486081e+10
48.5,2.1077688e+10,2.2155748e+16,9.795933e+09
49.5,1.8735445e+10,1.9693705e+16,8.3322185e+09
